RANK,TEAM,SEASON,CONFERENCE,DIVISION,W,L,W/L%,MOV,ORTG,DRTG,NRTG,ADJUSTED_MOV,ADJUSTED_ORTG,ADJUSTED_DRTG,ADJUSTED_NRTG
20,Boston Celtics,2005-2006,E,A,33,49,0.402,-1.54,106.12,107.86,-1.73,-1.59,106.05,107.83,-1.78
21,Minnesota Timberwolves,2005-2006,W,NW,33,49,0.402,-1.88,103.52,105.65,-2.13,-1.75,103.59,105.58,-1.99
22,Philadelphia 76ers,2005-2006,E,A,38,44,0.46299999999999997,-1.95,106.89,109.0,-2.1,-2.11,106.79,109.06,-2.27
23,Utah Jazz,2005-2006,W,NW,41,41,0.5,-2.63,104.93,107.9,-2.96,-2.49,104.98,107.79,-2.81
24,New Orleans/Oklahoma City Hornets,2005-2006,W,SW,38,44,0.46299999999999997,-2.82,104.5,107.77,-3.27,-2.51,104.62,107.56,-2.94
25,Toronto Raptors,2005-2006,E,A,27,55,0.32899999999999996,-2.99,110.22,113.34,-3.12,-3.03,110.4,113.57,-3.17
26,Seattle SuperSonics,2005-2006,W,NW,35,47,0.42700000000000005,-3.02,111.99,115.45,-3.45,-2.88,112.49,115.79,-3.31
27,Charlotte Bobcats,2005-2006,E,SE,26,56,0.317,-4.0,103.14,107.48,-4.33,-3.9,103.06,107.27,-4.21
28,Atlanta Hawks,2005-2006,E,SE,26,56,0.317,-4.76,107.2,112.46,-5.26,-4.69,107.29,112.47,-5.17
29,New York Knicks,2005-2006,E,A,23,59,0.28,-6.4,104.74,111.87,-7.14,-6.3,104.74,111.74,-7.0
30,Portland Trail Blazers,2005-2006,W,NW,21,61,0.256,-9.45,102.06,112.87,-10.81,-8.91,102.35,112.56,-10.21
1,San Antonio Spurs,2006-2007,W,SW,58,24,0.7070000000000001,8.43,110.11,100.64,9.47,8.35,109.84,100.47,9.37
2,Dallas Mavericks,2006-2007,W,SW,67,15,0.8170000000000001,7.22,112.32,104.12,8.2,7.28,112.23,103.98,8.25
3,Phoenix Suns,2006-2007,W,P,61,21,0.7440000000000001,7.3,114.68,106.9,7.78,7.27,114.66,106.9,7.76
4,Houston Rockets,2006-2007,W,SW,52,30,0.634,4.85,106.64,101.31,5.33,5.04,106.43,100.9,5.53
5,Chicago Bulls,2006-2007,E,C,49,33,0.598,5.01,105.71,100.32,5.39,4.52,105.36,100.5,4.86
6,Detroit Pistons,2006-2007,E,C,53,29,0.6459999999999999,4.16,109.8,104.87,4.93,3.68,109.72,105.33,4.39
7,Cleveland Cavaliers,2006-2007,E,C,50,32,0.61,3.83,106.15,102.1,4.05,3.33,105.92,102.41,3.52
8,Utah Jazz,2006-2007,W,NW,51,31,0.622,2.87,110.65,107.4,3.25,3.06,110.7,107.24,3.45
9,Denver Nuggets,2006-2007,W,NW,45,37,0.5489999999999999,1.62,108.12,106.51,1.62,1.69,107.95,106.24,1.7
10,Toronto Raptors,2006-2007,E,A,47,35,0.573,0.99,107.92,106.56,1.36,0.61,107.84,106.91,0.93
11,Orlando Magic,2006-2007,E,SE,40,42,0.488,0.78,105.99,105.03,0.96,0.34,105.76,105.28,0.48
12,Los Angeles Lakers,2006-2007,W,P,42,40,0.512,-0.07,109.09,109.28,-0.19,0.24,109.18,109.02,0.16
13,Golden State Warriors,2006-2007,W,P,42,40,0.512,-0.34,107.62,107.84,-0.22,-0.01,107.61,107.48,0.14
14,Los Angeles Clippers,2006-2007,W,P,40,42,0.488,-0.46,105.9,106.55,-0.65,-0.07,105.91,106.14,-0.22
15,Washington Wizards,2006-2007,E,SE,41,41,0.5,-0.51,110.57,111.28,-0.71,-0.8,110.7,111.71,-1.01
16,New Jersey Nets,2006-2007,E,A,41,41,0.5,-0.77,106.45,107.43,-0.97,-1.0,106.49,107.7,-1.22
17,Sacramento Kings,2006-2007,W,P,33,49,0.402,-1.8,106.79,108.59,-1.8,-1.35,106.92,108.23,-1.31
18,New Orleans/Oklahoma City Hornets,2006-2007,W,SW,39,43,0.47600000000000003,-1.57,105.68,107.51,-1.83,-1.2,105.78,107.19,-1.41
19,Miami Heat,2006-2007,E,SE,44,38,0.537,-0.91,105.25,106.36,-1.12,-1.21,105.23,106.67,-1.44
20,Indiana Pacers,2006-2007,E,C,35,47,0.42700000000000005,-2.44,103.7,106.21,-2.51,-2.62,103.72,106.44,-2.72
21,Seattle SuperSonics,2006-2007,W,NW,31,51,0.37799999999999995,-2.89,108.21,111.52,-3.31,-2.45,108.45,111.27,-2.82
22,New York Knicks,2006-2007,E,A,33,49,0.402,-2.85,106.39,109.53,-3.14,-3.06,106.45,109.82,-3.38
23,Minnesota Timberwolves,2006-2007,W,NW,32,50,0.39,-3.67,104.58,108.64,-4.06,-3.16,104.64,108.15,-3.51
24,Philadelphia 76ers,2006-2007,E,A,35,47,0.42700000000000005,-3.02,104.42,107.77,-3.35,-3.26,104.43,108.04,-3.61
25,Boston Celtics,2006-2007,E,A,24,58,0.293,-3.41,104.07,107.96,-3.89,-3.71,103.98,108.18,-4.19
26,Portland Trail Blazers,2006-2007,W,NW,32,50,0.39,-4.29,105.94,110.79,-4.85,-3.78,106.13,110.42,-4.29
27,Charlotte Bobcats,2006-2007,E,SE,33,49,0.402,-3.74,104.29,108.34,-4.04,-3.97,104.23,108.52,-4.3
28,Milwaukee Bucks,2006-2007,E,C,28,54,0.341,-4.38,107.63,112.34,-4.71,-4.44,107.89,112.66,-4.77
29,Memphis Grizzlies,2006-2007,W,SW,22,60,0.268,-5.15,107.37,112.95,-5.58,-4.44,107.74,112.54,-4.81
30,Atlanta Hawks,2006-2007,E,SE,30,52,0.366,-4.76,103.83,109.24,-5.41,-4.86,103.98,109.5,-5.52
1,Boston Celtics,2007-2008,E,A,66,16,0.805,10.26,111.1,99.75,11.35,9.31,110.55,100.23,10.32
2,Los Angeles Lakers,2007-2008,W,P,57,25,0.695,7.26,113.71,106.08,7.63,7.34,113.72,105.99,7.73
3,Detroit Pistons,2007-2008,E,C,59,23,0.72,7.39,112.09,103.64,8.45,6.67,111.76,104.09,7.66
4,Utah Jazz,2007-2008,W,NW,54,28,0.659,6.88,114.52,107.05,7.47,6.87,114.6,107.15,7.44
5,New Orleans Hornets,2007-2008,W,SW,56,26,0.6829999999999999,5.28,112.21,106.44,5.77,5.46,112.3,106.34,5.96
6,San Antonio Spurs,2007-2008,W,SW,56,26,0.6829999999999999,4.79,107.91,102.54,5.37,5.1,107.8,102.11,5.68
7,Houston Rockets,2007-2008,W,SW,55,27,0.6709999999999999,4.68,107.47,102.17,5.3,4.83,107.3,101.85,5.45
8,Phoenix Suns,2007-2008,W,P,55,27,0.6709999999999999,5.05,114.04,108.77,5.27,5.14,114.22,108.86,5.36
9,Dallas Mavericks,2007-2008,W,SW,51,31,0.622,4.54,111.9,106.82,5.08,4.7,112.02,106.77,5.25
10,Orlando Magic,2007-2008,E,SE,52,30,0.634,5.46,112.12,106.26,5.86,4.79,111.89,106.75,5.14
