RANK,TEAM,SEASON,CONFERENCE,DIVISION,W,L,W/L%,MOV,ORTG,DRTG,NRTG,ADJUSTED_MOV,ADJUSTED_ORTG,ADJUSTED_DRTG,ADJUSTED_NRTG
16,Phoenix Suns,2010-2011,W,P,40,42,0.488,-0.89,110.2,111.15,-0.94,-0.46,110.35,110.83,-0.47
17,Milwaukee Bucks,2010-2011,E,C,35,47,0.42700000000000005,-0.84,102.47,103.46,-1.0,-1.01,102.29,103.48,-1.18
18,Atlanta Hawks,2010-2011,E,SE,44,38,0.537,-0.82,107.01,107.96,-0.95,-1.1,107.03,108.29,-1.26
19,Indiana Pacers,2010-2011,E,C,37,45,0.451,-1.07,105.53,106.73,-1.2,-1.37,105.54,107.07,-1.53
20,Utah Jazz,2010-2011,W,NW,39,43,0.47600000000000003,-1.83,108.95,111.05,-2.1,-1.44,109.08,110.75,-1.67
21,Golden State Warriors,2010-2011,W,P,36,46,0.439,-2.33,108.96,111.39,-2.43,-2.0,109.0,111.08,-2.08
22,Los Angeles Clippers,2010-2011,W,P,32,50,0.39,-3.13,106.24,109.78,-3.54,-2.71,106.23,109.31,-3.08
23,Detroit Pistons,2010-2011,E,C,30,52,0.366,-3.6,108.37,112.5,-4.13,-3.78,108.65,112.98,-4.33
24,Charlotte Bobcats,2010-2011,E,SE,34,48,0.415,-4.0,104.32,108.92,-4.6,-4.08,104.43,109.11,-4.67
25,Sacramento Kings,2010-2011,W,P,24,58,0.293,-5.34,104.18,109.82,-5.65,-4.8,104.16,109.24,-5.07
26,Minnesota Timberwolves,2010-2011,W,NW,17,65,0.207,-6.63,104.84,111.69,-6.85,-5.97,104.93,111.07,-6.15
27,Toronto Raptors,2010-2011,E,A,22,60,0.268,-6.28,106.85,113.57,-6.72,-6.28,107.17,113.88,-6.72
28,New Jersey Nets,2010-2011,E,A,24,58,0.293,-6.24,103.99,110.94,-6.95,-6.28,104.11,111.1,-6.99
29,Washington Wizards,2010-2011,E,SE,23,59,0.28,-7.4,103.12,110.93,-7.81,-7.3,103.39,111.09,-7.71
30,Cleveland Cavaliers,2010-2011,E,C,19,63,0.23199999999999998,-9.01,102.74,112.56,-9.81,-8.88,103.02,112.69,-9.67
1,Chicago Bulls,2011-2012,E,C,50,16,0.758,8.18,108.22,98.89,9.33,7.43,108.21,99.72,8.49
2,San Antonio Spurs,2011-2012,W,SW,50,16,0.758,7.17,111.45,103.83,7.62,7.28,111.35,103.6,7.75
3,Oklahoma City Thunder,2011-2012,W,NW,47,19,0.7120000000000001,6.12,110.33,103.77,6.56,6.44,110.3,103.37,6.93
4,Miami Heat,2011-2012,E,SE,46,20,0.6970000000000001,5.98,107.66,101.1,6.56,5.72,107.97,101.71,6.26
5,Philadelphia 76ers,2011-2012,E,A,35,31,0.53,4.24,104.7,100.0,4.7,3.59,104.42,100.45,3.97
6,Denver Nuggets,2011-2012,W,NW,38,28,0.5760000000000001,2.88,109.95,106.97,2.99,3.16,109.94,106.63,3.31
7,Los Angeles Clippers,2011-2012,W,P,40,26,0.606,2.56,109.49,106.69,2.8,2.82,109.26,106.18,3.09
8,Indiana Pacers,2011-2012,E,C,42,24,0.636,3.3,107.63,103.94,3.69,2.59,107.68,104.77,2.91
9,Atlanta Hawks,2011-2012,E,SE,40,26,0.606,3.44,105.74,102.04,3.7,2.67,105.57,102.72,2.85
10,New York Knicks,2011-2012,E,A,36,30,0.545,3.2,105.51,101.86,3.64,2.39,105.45,102.7,2.75
11,Memphis Grizzlies,2011-2012,W,SW,41,25,0.621,2.02,104.81,102.57,2.24,2.43,104.59,101.89,2.7
12,Boston Celtics,2011-2012,E,A,39,27,0.591,2.52,102.12,99.34,2.78,2.26,102.19,99.69,2.5
13,Los Angeles Lakers,2011-2012,W,P,41,25,0.621,1.42,106.62,105.07,1.55,1.96,106.6,104.45,2.15
14,Dallas Mavericks,2011-2012,W,SW,36,30,0.545,0.95,104.08,103.01,1.07,1.78,104.04,102.07,1.97
15,Utah Jazz,2011-2012,W,NW,36,30,0.545,0.62,107.51,106.91,0.6,0.92,107.34,106.4,0.94
16,Houston Rockets,2011-2012,W,SW,34,32,0.515,0.23,106.42,106.11,0.31,0.57,106.27,105.58,0.69
17,Phoenix Suns,2011-2012,W,P,33,33,0.5,-0.24,106.96,107.1,-0.13,0.29,106.96,106.52,0.45
18,Orlando Magic,2011-2012,E,SE,37,29,0.561,0.79,105.65,104.87,0.78,0.46,105.77,105.36,0.41
19,Milwaukee Bucks,2011-2012,E,C,31,35,0.47,0.27,106.07,105.73,0.34,-0.23,106.13,106.34,-0.21
20,Portland Trail Blazers,2011-2012,W,NW,28,38,0.424,-0.62,106.56,107.24,-0.69,-0.21,106.4,106.64,-0.24
21,Minnesota Timberwolves,2011-2012,W,NW,26,40,0.39399999999999996,-2.2,104.85,107.0,-2.15,-1.83,104.65,106.4,-1.75
22,Golden State Warriors,2011-2012,W,P,23,43,0.348,-3.41,105.97,109.66,-3.69,-2.79,106.0,109.01,-3.01
23,New Orleans Hornets,2011-2012,W,SW,21,45,0.318,-3.76,101.82,105.98,-4.16,-3.11,101.68,105.11,-3.44
24,Toronto Raptors,2011-2012,E,A,23,43,0.348,-3.3,101.57,105.32,-3.74,-3.67,101.68,105.83,-4.14
25,Sacramento Kings,2011-2012,W,P,22,44,0.33299999999999996,-5.68,104.46,110.43,-5.98,-4.95,104.59,109.76,-5.17
26,Washington Wizards,2011-2012,E,SE,20,46,0.303,-4.8,101.75,107.03,-5.28,-5.14,101.95,107.61,-5.66
27,Detroit Pistons,2011-2012,E,C,25,41,0.379,-4.79,102.13,107.48,-5.35,-5.18,102.33,108.11,-5.78
28,New Jersey Nets,2011-2012,E,A,22,44,0.33299999999999996,-5.98,103.77,110.52,-6.75,-6.37,103.99,111.17,-7.18
29,Cleveland Cavaliers,2011-2012,E,C,21,45,0.318,-7.2,101.86,109.78,-7.92,-7.34,102.06,110.14,-8.08
30,Charlotte Bobcats,2011-2012,E,SE,7,59,0.106,-13.91,95.85,111.26,-15.41,-13.96,96.12,111.59,-15.46
1,Oklahoma City Thunder,2012-2013,W,NW,60,22,0.732,9.21,113.3,103.35,9.95,9.15,113.21,103.33,9.89
2,Miami Heat,2012-2013,E,SE,66,16,0.805,7.87,113.43,104.77,8.67,7.03,113.28,105.53,7.75
3,San Antonio Spurs,2012-2013,W,SW,58,24,0.7070000000000001,6.4,109.11,102.26,6.85,6.67,109.05,101.9,7.14
4,Los Angeles Clippers,2012-2013,W,P,56,26,0.6829999999999999,6.45,111.62,104.47,7.16,6.43,111.58,104.44,7.13
5,Denver Nuggets,2012-2013,W,NW,57,25,0.695,5.09,111.23,105.97,5.26,5.37,111.34,105.76,5.58
6,Memphis Grizzlies,2012-2013,W,SW,56,26,0.6829999999999999,4.15,105.95,101.22,4.74,4.33,105.72,100.79,4.93
7,New York Knicks,2012-2013,E,A,54,28,0.659,4.23,111.83,106.92,4.91,3.73,111.88,107.53,4.35
8,Houston Rockets,2012-2013,W,SW,45,37,0.5489999999999999,3.48,110.42,106.67,3.75,3.69,110.51,106.52,3.99
9,Indiana Pacers,2012-2013,E,C,49,32,0.605,4.02,104.87,100.54,4.33,3.34,104.48,100.89,3.59
10,Los Angeles Lakers,2012-2013,W,P,45,37,0.5489999999999999,1.16,108.49,107.23,1.27,1.48,108.48,106.86,1.62
11,Golden State Warriors,2012-2013,W,P,47,35,0.573,0.89,107.1,106.04,1.06,1.32,107.13,105.61,1.52
12,Brooklyn Nets,2012-2013,E,A,49,33,0.598,1.78,109.1,107.14,1.96,1.25,109.1,107.71,1.39
13,Utah Jazz,2012-2013,W,NW,43,39,0.524,-0.09,107.42,107.5,-0.08,0.3,107.49,107.15,0.34
14,Chicago Bulls,2012-2013,E,C,45,37,0.5489999999999999,0.32,104.23,103.87,0.36,-0.01,104.09,104.1,0.0
15,Dallas Mavericks,2012-2013,W,SW,41,41,0.5,-0.6,106.66,107.14,-0.48,-0.24,106.74,106.82,-0.09
16,Atlanta Hawks,2012-2013,E,SE,44,38,0.537,0.4,105.5,105.14,0.37,-0.07,105.39,105.54,-0.15
17,Boston Celtics,2012-2013,E,A,41,40,0.506,-0.22,104.07,104.4,-0.32,-0.62,103.77,104.51,-0.75
18,Toronto Raptors,2012-2013,E,A,34,48,0.415,-1.48,106.58,107.98,-1.4,-1.95,106.51,108.45,-1.93
19,Minnesota Timberwolves,2012-2013,W,NW,31,51,0.37799999999999995,-2.37,103.61,106.23,-2.63,-1.83,103.66,105.7,-2.04
20,Milwaukee Bucks,2012-2013,E,C,38,44,0.46299999999999997,-1.5,104.28,106.02,-1.74,-1.82,104.2,106.29,-2.09
21,Portland Trail Blazers,2012-2013,W,NW,33,49,0.402,-3.17,106.21,109.77,-3.56,-2.52,106.45,109.3,-2.85
22,Washington Wizards,2012-2013,E,SE,29,53,0.354,-2.54,100.78,103.61,-2.82,-2.78,100.56,103.64,-3.09
23,New Orleans Hornets,2012-2013,W,SW,27,55,0.32899999999999996,-3.87,106.63,110.97,-4.34,-3.11,107.03,110.54,-3.51
24,Philadelphia 76ers,2012-2013,E,A,34,48,0.415,-3.34,102.69,106.37,-3.68,-3.51,102.59,106.45,-3.86
25,Sacramento Kings,2012-2013,W,P,28,54,0.341,-4.88,106.85,112.16,-5.3,-4.25,107.21,111.83,-4.62
26,Detroit Pistons,2012-2013,E,C,29,53,0.354,-3.99,104.57,109.03,-4.46,-4.32,104.56,109.37,-4.82
27,Cleveland Cavaliers,2012-2013,E,C,24,58,0.293,-4.68,105.09,110.16,-5.07,-4.87,105.24,110.52,-5.28
28,Phoenix Suns,2012-2013,W,P,25,57,0.305,-6.46,102.0,108.82,-6.82,-5.75,102.2,108.24,-6.04
29,Orlando Magic,2012-2013,E,SE,20,62,0.244,-6.99,102.09,109.79,-7.7,-7.12,102.05,109.89,-7.84
30,Charlotte Bobcats,2012-2013,E,SE,21,61,0.256,-9.23,102.34,112.51,-10.17,-9.29,102.59,112.82,-10.23
1,San Antonio Spurs,2013-2014,W,SW,62,20,0.7559999999999999,7.72,111.09,102.93,8.16,7.99,110.98,102.53,8.45
2,Los Angeles Clippers,2013-2014,W,P,57,25,0.695,6.98,112.89,105.64,7.25,7.27,112.88,105.33,7.56
3,Oklahoma City Thunder,2013-2014,W,NW,59,23,0.72,6.34,111.32,104.6,6.71,6.65,111.29,104.26,7.04
4,Golden State Warriors,2013-2014,W,P,51,31,0.622,4.8,108.05,103.07,4.98,5.15,107.93,102.59,5.34
5,Houston Rockets,2013-2014,W,SW,54,28,0.659,4.56,111.72,107.07,4.65,5.06,111.82,106.65,5.17
6,Miami Heat,2013-2014,E,SE,54,28,0.659,4.76,112.13,106.75,5.38,4.15,112.15,107.42,4.73
7,Portland Trail Blazers,2013-2014,W,NW,54,28,0.659,3.99,112.03,107.8,4.22,4.43,112.17,107.49,4.68
8,Indiana Pacers,2013-2014,E,C,56,26,0.6829999999999999,4.4,104.7,100.05,4.65,3.63,104.25,100.42,3.83
9,Dallas Mavericks,2013-2014,W,SW,49,33,0.598,2.4,111.95,109.24,2.71,2.9,112.16,108.95,3.21
10,Minnesota Timberwolves,2013-2014,W,NW,40,42,0.488,2.67,109.41,106.7,2.7,3.1,109.4,106.25,3.15
11,Phoenix Suns,2013-2014,W,P,48,34,0.585,2.63,110.26,107.54,2.72,3.02,110.35,107.23,3.12
12,Toronto Raptors,2013-2014,E,A,48,34,0.585,3.24,109.77,106.15,3.62,2.55,109.65,106.76,2.89
13,Memphis Grizzlies,2013-2014,W,SW,50,32,0.61,1.57,107.12,105.47,1.66,2.17,107.18,104.89,2.29
14,Chicago Bulls,2013-2014,E,C,48,34,0.585,1.85,103.49,101.4,2.09,1.19,103.12,101.72,1.4
15,Washington Wizards,2013-2014,E,SE,44,38,0.537,1.27,106.75,105.45,1.3,0.47,106.46,105.99,0.47
16,Atlanta Hawks,2013-2014,E,SE,38,44,0.46299999999999997,-0.48,106.71,107.26,-0.56,-0.88,106.74,107.71,-0.97
17,Charlotte Bobcats,2013-2014,E,SE,43,39,0.524,-0.22,104.31,104.61,-0.29,-0.89,104.04,105.03,-0.99
18,New York Knicks,2013-2014,E,A,37,45,0.451,-0.79,109.27,109.97,-0.7,-1.4,109.25,110.58,-1.33
19,Denver Nuggets,2013-2014,W,NW,36,46,0.439,-2.15,106.59,108.79,-2.2,-1.4,106.75,108.17,-1.43
20,Brooklyn Nets,2013-2014,E,A,44,38,0.537,-1.0,107.42,108.63,-1.21,-1.58,107.36,109.16,-1.8
21,New Orleans Pelicans,2013-2014,W,SW,34,48,0.415,-2.71,107.98,110.9,-2.92,-1.98,108.18,110.35,-2.16
22,Sacramento Kings,2013-2014,W,P,28,54,0.341,-2.9,106.22,109.46,-3.24,-2.08,106.39,108.77,-2.37
23,Cleveland Cavaliers,2013-2014,E,C,33,49,0.402,-3.29,104.95,108.52,-3.56,-3.86,104.92,109.07,-4.16
24,Detroit Pistons,2013-2014,E,C,29,53,0.354,-3.66,106.6,110.51,-3.92,-4.14,106.66,111.07,-4.41
25,Los Angeles Lakers,2013-2014,W,P,27,55,0.32899999999999996,-6.29,104.89,111.01,-6.13,-5.33,105.23,110.38,-5.15
26,Boston Celtics,2013-2014,E,A,25,57,0.305,-4.46,103.82,108.63,-4.81,-4.98,103.69,109.03,-5.34
27,Orlando Magic,2013-2014,E,SE,23,59,0.28,-5.44,102.14,108.1,-5.96,-5.88,102.06,108.48,-6.41
28,Utah Jazz,2013-2014,W,NW,25,57,0.305,-7.17,104.15,112.0,-7.85,-6.27,104.43,111.32,-6.89
29,Milwaukee Bucks,2013-2014,E,C,15,67,0.183,-8.18,103.67,112.67,-9.0,-8.41,103.88,113.1,-9.23
30,Philadelphia 76ers,2013-2014,E,A,19,63,0.23199999999999998,-10.45,100.09,110.53,-10.44,-10.66,100.11,110.79,-10.68
1,Golden State Warriors,2014-2015,W,P,67,15,0.8170000000000001,10.1,112.18,101.86,10.32,10.01,111.9,101.67,10.23
2,Los Angeles Clippers,2014-2015,W,P,56,26,0.6829999999999999,6.59,113.21,106.22,6.98,6.8,113.35,106.14,7.21
3,San Antonio Spurs,2014-2015,W,SW,55,27,0.6709999999999999,6.2,109.25,102.61,6.64,6.34,109.09,102.3,6.79
4,Atlanta Hawks,2014-2015,E,SE,60,22,0.732,5.43,110.0,103.98,6.02,4.75,109.85,104.56,5.29
5,Portland Trail Blazers,2014-2015,W,NW,51,31,0.622,4.23,108.81,104.3,4.5,4.41,108.72,104.03,4.69
6,Cleveland Cavaliers,2014-2015,E,C,53,29,0.6459999999999999,4.48,111.93,107.13,4.8,4.08,111.97,107.58,4.39
7,Houston Rockets,2014-2015,W,SW,56,26,0.6829999999999999,3.44,107.87,104.26,3.61,3.82,107.86,103.85,4.01
8,Memphis Grizzlies,2014-2015,W,SW,55,27,0.6709999999999999,3.24,106.44,102.9,3.55,3.62,106.35,102.41,3.94
9,Dallas Mavericks,2014-2015,W,SW,50,32,0.61,2.9,110.3,107.14,3.16,3.36,110.51,106.87,3.64
10,Chicago Bulls,2014-2015,E,C,50,32,0.61,3.0,108.48,105.11,3.37,2.54,108.42,105.53,2.88
11,Toronto Raptors,2014-2015,E,A,49,33,0.598,3.07,112.06,108.69,3.37,2.45,112.07,109.35,2.72
12,Oklahoma City Thunder,2014-2015,W,NW,45,37,0.5489999999999999,2.18,108.41,106.18,2.24,2.47,108.42,105.89,2.54
13,New Orleans Pelicans,2014-2015,W,SW,45,37,0.5489999999999999,0.79,108.95,108.15,0.8,1.13,109.04,107.88,1.16
14,Utah Jazz,2014-2015,W,NW,38,44,0.46299999999999997,0.22,106.19,105.91,0.28,0.71,106.23,105.43,0.79
15,Washington Wizards,2014-2015,E,SE,46,36,0.561,0.72,104.56,103.73,0.83,0.17,104.38,104.13,0.25
16,Indiana Pacers,2014-2015,E,C,38,44,0.46299999999999997,0.28,104.44,104.04,0.4,-0.22,104.34,104.48,-0.14
17,Milwaukee Bucks,2014-2015,E,C,41,41,0.5,0.43,103.57,103.18,0.38,-0.09,103.33,103.49,-0.16
18,Phoenix Suns,2014-2015,W,P,39,43,0.47600000000000003,-0.9,105.93,106.85,-0.92,-0.38,105.97,106.34,-0.37
19,Boston Celtics,2014-2015,E,A,40,42,0.488,0.16,105.32,105.17,0.15,-0.4,105.14,105.58,-0.44
20,Detroit Pistons,2014-2015,E,C,32,50,0.39,-1.0,106.22,107.35,-1.14,-1.39,106.23,107.77,-1.54
21,Denver Nuggets,2014-2015,W,NW,30,52,0.366,-3.55,105.11,108.68,-3.57,-3.07,105.16,108.22,-3.07
22,Sacramento Kings,2014-2015,W,P,29,53,0.354,-3.71,106.01,109.95,-3.94,-3.07,106.24,109.51,-3.27
23,Brooklyn Nets,2014-2015,E,A,38,44,0.46299999999999997,-2.88,105.15,108.19,-3.05,-3.13,105.17,108.48,-3.31
24,Miami Heat,2014-2015,E,SE,37,45,0.451,-2.6,104.86,107.91,-3.05,-2.92,104.99,108.36,-3.37
25,Charlotte Hornets,2014-2015,E,SE,33,49,0.402,-3.17,100.92,104.44,-3.52,-3.44,100.75,104.55,-3.79
26,Orlando Magic,2014-2015,E,SE,25,57,0.305,-5.72,102.26,108.34,-6.07,-5.87,102.3,108.54,-6.23
27,Los Angeles Lakers,2014-2015,W,P,21,61,0.256,-6.84,104.07,111.44,-7.36,-6.17,104.26,110.9,-6.65
28,Minnesota Timberwolves,2014-2015,W,NW,16,66,0.195,-8.79,103.63,112.98,-9.36,-8.0,103.98,112.5,-8.52
29,Philadelphia 76ers,2014-2015,E,A,18,64,0.22,-8.98,96.4,105.7,-9.31,-9.04,96.3,105.67,-9.38
30,New York Knicks,2014-2015,E,A,17,65,0.207,-9.32,100.89,111.01,-10.13,-9.49,101.06,111.36,-10.3
1,San Antonio Spurs,2015-2016,W,SW,67,15,0.8170000000000001,10.63,111.04,99.55,11.49,10.28,110.59,99.49,11.1
2,Golden State Warriors,2015-2016,W,P,73,9,0.89,10.76,115.18,104.32,10.86,10.38,115.01,104.53,10.49
3,Oklahoma City Thunder,2015-2016,W,NW,55,27,0.6709999999999999,7.28,113.76,106.22,7.54,7.09,113.64,106.29,7.35
4,Cleveland Cavaliers,2015-2016,E,C,57,25,0.695,5.99,111.8,105.32,6.48,5.44,111.75,105.85,5.9
5,Toronto Raptors,2015-2016,E,A,56,26,0.6829999999999999,4.5,111.11,106.16,4.95,4.08,111.18,106.68,4.5
6,Los Angeles Clippers,2015-2016,W,P,53,29,0.6459999999999999,4.28,109.04,104.57,4.47,4.13,108.69,104.39,4.31
7,Atlanta Hawks,2015-2016,E,SE,48,34,0.585,3.61,105.75,102.0,3.75,3.49,105.74,102.12,3.62
8,Boston Celtics,2015-2016,E,A,48,34,0.585,3.21,107.3,104.1,3.2,2.84,107.24,104.43,2.81
9,Charlotte Hornets,2015-2016,E,SE,48,34,0.585,2.72,107.72,105.01,2.71,2.36,107.67,105.33,2.34
10,Utah Jazz,2015-2016,W,NW,40,42,0.488,1.8,106.83,104.78,2.04,1.86,106.57,104.48,2.09
11,Indiana Pacers,2015-2016,E,C,45,37,0.5489999999999999,1.71,105.28,103.51,1.77,1.62,105.26,103.58,1.68
12,Miami Heat,2015-2016,E,SE,48,34,0.585,1.65,107.01,105.34,1.67,1.5,107.08,105.56,1.52
13,Portland Trail Blazers,2015-2016,W,NW,44,38,0.537,0.83,109.55,108.67,0.88,0.98,109.48,108.45,1.03
14,Detroit Pistons,2015-2016,E,C,44,38,0.537,0.61,106.78,106.19,0.59,0.43,106.88,106.48,0.4
15,Houston Rockets,2015-2016,W,SW,41,41,0.5,0.2,109.23,109.1,0.13,0.34,109.26,108.96,0.3
16,Dallas Mavericks,2015-2016,W,SW,42,40,0.512,-0.3,107.29,107.48,-0.19,-0.02,107.24,107.13,0.11
17,Washington Wizards,2015-2016,E,SE,41,41,0.5,-0.5,106.09,106.48,-0.39,-0.49,106.23,106.62,-0.39
18,Chicago Bulls,2015-2016,E,C,42,40,0.512,-1.48,105.85,107.28,-1.43,-1.46,106.02,107.44,-1.42
19,Orlando Magic,2015-2016,E,SE,35,47,0.42700000000000005,-1.62,105.73,107.47,-1.74,-1.68,105.89,107.7,-1.8
20,Memphis Grizzlies,2015-2016,W,SW,42,40,0.512,-2.24,106.36,108.69,-2.33,-2.13,106.23,108.45,-2.22
21,Sacramento Kings,2015-2016,W,P,33,49,0.402,-2.48,106.57,109.07,-2.5,-2.31,106.44,108.77,-2.33
22,Denver Nuggets,2015-2016,W,NW,33,49,0.402,-3.1,106.22,109.47,-3.25,-2.81,106.24,109.17,-2.94
23,New York Knicks,2015-2016,E,A,32,50,0.39,-2.73,105.41,108.43,-3.03,-2.73,105.55,108.58,-3.02
24,New Orleans Pelicans,2015-2016,W,SW,30,52,0.366,-3.79,106.27,110.17,-3.89,-3.55,106.32,109.96,-3.63
25,Minnesota Timberwolves,2015-2016,W,NW,29,53,0.354,-3.54,107.17,111.02,-3.86,-3.38,107.17,110.86,-3.68
26,Milwaukee Bucks,2015-2016,E,C,33,49,0.402,-4.18,105.06,109.65,-4.59,-3.98,105.32,109.69,-4.37
27,Phoenix Suns,2015-2016,W,P,23,59,0.28,-6.66,102.94,109.8,-6.86,-6.32,102.95,109.45,-6.5
28,Brooklyn Nets,2015-2016,E,A,21,61,0.256,-7.35,103.74,111.6,-7.86,-7.11,104.06,111.66,-7.61
29,Los Angeles Lakers,2015-2016,W,P,17,65,0.207,-9.56,102.29,112.4,-10.12,-8.92,102.49,111.92,-9.43
30,Philadelphia 76ers,2015-2016,E,A,10,72,0.122,-10.23,99.65,110.15,-10.5,-9.92,99.83,110.01,-10.18
1,Golden State Warriors,2016-2017,W,P,67,15,0.8170000000000001,11.63,116.26,104.57,11.69,11.35,116.02,104.61,11.41
2,San Antonio Spurs,2016-2017,W,SW,61,21,0.7440000000000001,7.2,111.81,104.25,7.56,7.13,111.62,104.12,7.49
3,Houston Rockets,2016-2017,W,SW,55,27,0.6709999999999999,5.77,115.59,109.96,5.63,5.84,115.7,109.98,5.72
4,Los Angeles Clippers,2016-2017,W,P,51,31,0.622,4.29,113.38,108.88,4.5,4.42,113.46,108.82,4.64
5,Utah Jazz,2016-2017,W,NW,51,31,0.622,3.94,110.46,106.19,4.27,4.0,110.31,105.98,4.33
6,Toronto Raptors,2016-2017,E,A,51,31,0.622,4.21,113.2,108.68,4.51,3.65,113.07,109.14,3.93
7,Cleveland Cavaliers,2016-2017,E,C,51,31,0.622,3.18,114.25,110.99,3.27,2.88,114.33,111.38,2.95
8,Boston Celtics,2016-2017,E,A,53,29,0.6459999999999999,2.63,111.88,109.16,2.72,2.25,111.81,109.49,2.33
9,Washington Wizards,2016-2017,E,SE,49,33,0.598,1.8,111.98,110.06,1.92,1.36,111.96,110.49,1.46
10,Oklahoma City Thunder,2016-2017,W,NW,47,35,0.573,0.76,108.95,108.17,0.78,1.15,108.94,107.75,1.18
11,Memphis Grizzlies,2016-2017,W,SW,43,39,0.524,0.49,108.59,107.89,0.7,0.96,108.71,107.55,1.17
12,Miami Heat,2016-2017,E,SE,41,41,0.5,1.06,108.73,107.65,1.09,0.78,108.62,107.84,0.79
13,Denver Nuggets,2016-2017,W,NW,40,42,0.488,0.51,113.9,113.43,0.47,0.7,114.06,113.39,0.67
14,Charlotte Hornets,2016-2017,E,SE,36,46,0.439,0.2,109.57,109.31,0.25,-0.06,109.53,109.55,-0.02
15,Chicago Bulls,2016-2017,E,C,41,41,0.5,0.43,108.04,107.72,0.32,0.03,107.91,107.98,-0.08
16,Portland Trail Blazers,2016-2017,W,NW,41,41,0.5,-0.52,110.93,111.46,-0.53,-0.23,111.09,111.31,-0.22
17,Milwaukee Bucks,2016-2017,E,C,42,40,0.512,-0.18,109.92,110.16,-0.23,-0.44,109.96,110.46,-0.5
18,Indiana Pacers,2016-2017,E,C,42,40,0.512,-0.22,109.33,109.49,-0.16,-0.64,109.21,109.81,-0.6
19,Minnesota Timberwolves,2016-2017,W,NW,31,51,0.37799999999999995,-1.11,111.54,112.74,-1.2,-0.63,111.75,112.46,-0.71
20,Atlanta Hawks,2016-2017,E,SE,43,39,0.524,-0.85,105.55,106.54,-0.99,-1.23,105.32,106.69,-1.37
21,Detroit Pistons,2016-2017,E,C,37,45,0.451,-1.12,106.53,107.9,-1.37,-1.29,106.39,107.93,-1.54
22,New Orleans Pelicans,2016-2017,W,SW,34,48,0.415,-2.1,105.81,108.01,-2.2,-1.69,105.79,107.57,-1.78
23,Dallas Mavericks,2016-2017,W,SW,33,49,0.402,-2.93,106.28,109.36,-3.08,-2.52,106.31,108.96,-2.65
24,Sacramento Kings,2016-2017,W,P,32,50,0.39,-3.88,107.98,112.18,-4.21,-3.29,108.12,111.72,-3.59
25,New York Knicks,2016-2017,E,A,31,51,0.37799999999999995,-3.67,108.57,112.35,-3.77,-3.87,108.62,112.6,-3.98
26,Phoenix Suns,2016-2017,W,P,24,58,0.293,-5.63,107.32,112.79,-5.47,-5.14,107.43,112.41,-4.98
27,Philadelphia 76ers,2016-2017,E,A,28,54,0.341,-5.7,103.96,109.81,-5.85,-5.83,103.92,109.91,-5.99
28,Los Angeles Lakers,2016-2017,W,P,26,56,0.317,-6.88,106.69,113.72,-7.02,-6.29,106.96,113.38,-6.42
29,Brooklyn Nets,2016-2017,E,A,20,62,0.244,-6.73,104.61,111.34,-6.73,-6.74,104.63,111.37,-6.74
30,Orlando Magic,2016-2017,E,SE,29,53,0.354,-6.57,104.23,111.11,-6.88,-6.61,104.3,111.21,-6.92
1,Houston Rockets,2017-2018,W,SW,65,17,0.7929999999999999,8.48,115.48,106.84,8.64,8.21,115.45,107.08,8.37
2,Toronto Raptors,2017-2018,E,A,59,23,0.72,7.78,114.6,106.56,8.03,7.3,114.5,106.96,7.54
3,Golden State Warriors,2017-2018,W,P,58,24,0.7070000000000001,5.98,114.31,108.43,5.88,5.79,114.33,108.62,5.7
4,Utah Jazz,2017-2018,W,NW,48,34,0.585,4.3,109.07,104.56,4.51,4.47,108.92,104.24,4.68
5,Philadelphia 76ers,2017-2018,E,A,52,30,0.634,4.5,110.28,105.77,4.51,4.3,110.12,105.81,4.31
6,Oklahoma City Thunder,2017-2018,W,NW,48,34,0.585,3.41,111.48,108.02,3.47,3.42,111.5,108.03,3.47
7,Boston Celtics,2017-2018,E,A,55,27,0.6709999999999999,3.59,108.4,104.65,3.75,3.24,108.14,104.75,3.39
8,San Antonio Spurs,2017-2018,W,SW,47,35,0.573,2.89,108.49,105.36,3.13,2.89,108.35,105.23,3.12
9,Portland Trail Blazers,2017-2018,W,NW,49,33,0.598,2.6,109.58,106.93,2.66,2.6,109.44,106.79,2.66
10,Minnesota Timberwolves,2017-2018,W,NW,47,35,0.573,2.23,114.24,111.86,2.38,2.35,114.41,111.91,2.5
11,Denver Nuggets,2017-2018,W,NW,46,36,0.561,1.48,113.02,111.4,1.62,1.57,113.21,111.5,1.71
12,New Orleans Pelicans,2017-2018,W,SW,48,34,0.585,1.3,110.29,109.05,1.24,1.48,110.37,108.95,1.42
13,Indiana Pacers,2017-2018,E,C,48,34,0.585,1.38,110.24,108.8,1.44,1.18,110.17,108.94,1.24
14,Cleveland Cavaliers,2017-2018,E,C,50,32,0.61,0.94,113.58,112.56,1.02,0.59,113.61,112.94,0.67
15,Washington Wizards,2017-2018,E,SE,43,39,0.524,0.59,109.96,109.41,0.55,0.53,110.0,109.49,0.5
16,Miami Heat,2017-2018,E,SE,44,38,0.537,0.48,107.63,107.12,0.51,0.15,107.47,107.28,0.18
17,Los Angeles Clippers,2017-2018,W,P,42,40,0.512,0.04,110.97,111.02,-0.05,0.15,111.06,111.0,0.07
