"bbref_id","season","age","team","league","position","games_played","minutes_played","PER","TS_perc","three_point_rate","FTr","ORB_perc","DRB_perc","TRB_perc","AST_perc","STL_perc","BLK_perc","TOV_perc","USG_perc","OWS","DWS","WS","WS_per_48","OBPM","DBPM","BPM","VORP","team_flag"
"adamsst01","2016",22,"OKC","NBA","C",80,2014,15.5,0.621,0,0.46,12.5,16.1,14.4,4.3,1,3.3,14.1,12.6,4.2,2.3,6.5,0.155,0.8,1.3,2.1,2.1,TRUE
"adamsst01","2017",23,"OKC","NBA","C",80,2389,16.5,0.589,0.002,0.392,13,15.4,14.2,5.4,1.8,2.6,16,16.2,3.3,3.1,6.5,0.13,-0.7,1.2,0.6,1.5,TRUE
"adamsst01","2018",24,"OKC","NBA","C",76,2487,20.6,0.63,0.003,0.402,16.6,13.9,15.3,5.5,1.8,2.8,13.3,16.7,6.7,3,9.7,0.187,2.2,1.1,3.3,3.3,TRUE
"adamsst01","2019",25,"OKC","NBA","C",80,2669,18.5,0.591,0.002,0.361,14.7,14.8,14.7,6.6,2,2.4,12.6,16.4,5.1,4,9.1,0.163,0.6,2.1,2.7,3.2,TRUE
"adebaba01","2018",20,"MIA","NBA","C",69,1368,15.7,0.57,0.021,0.526,9.7,21.6,15.6,11,1.2,2.5,13.6,15.9,2.3,1.9,4.2,0.148,-1.6,1.8,0.2,0.8,TRUE
"adebaba01","2019",21,"MIA","NBA","C",82,1913,17.9,0.623,0.031,0.465,9.2,24,16.6,14.2,1.8,3,17.1,15.8,3.4,3.4,6.8,0.171,-0.6,3.6,3,2.4,TRUE
"adelde01","2019",21,"CLE","NBA","SF",19,194,2.7,0.424,0.639,0.111,1.6,9.6,5.4,3.4,0.3,1.8,13.7,9.9,-0.2,0,-0.2,-0.054,-5.3,-2,-7.3,-0.3,TRUE
"adrieje01","2011",24,"GSW","NBA","PF",23,196,11.3,0.457,0,0.352,13,20.7,16.8,7.3,1,1.9,12.6,16.1,0.1,0.1,0.2,0.051,-3.9,-1.2,-5.1,-0.2,TRUE
"adrieje01","2012",25,"HOU","NBA","PF",8,63,11.2,0.493,0,0.75,9.1,31.6,20.3,2.4,0,2.4,8.6,16.8,0.1,0.1,0.1,0.106,-5.4,-2.3,-7.7,-0.1,TRUE
"adrieje01","2013",26,"CHA","NBA","PF",52,713,13.4,0.493,0.012,0.595,10.6,21.2,15.7,8.3,1.3,3.1,13.1,15.6,0.5,0.4,1,0.064,-3,-0.2,-3.3,-0.2,TRUE
"adrieje01","2014",27,"TOT","NBA","PF",53,961,17.4,0.553,0,0.433,11.8,24.8,18.2,6.8,1.3,3,10.6,17.3,1.6,1.1,2.7,0.134,-1.4,0.3,-1.1,0.2,TRUE
"adrieje01","2014",27,"CHA","NBA","PF",25,256,14.9,0.559,0,0.625,14.5,24.4,19.4,4.1,1.4,4.6,13.6,10.6,0.4,0.5,0.9,0.17,-2.5,2.9,0.4,0.2,FALSE
"adrieje01","2014",27,"MIL","NBA","PF",28,705,18.4,0.552,0,0.4,10.9,25,17.7,7.7,1.3,2.4,10.1,19.7,1.2,0.6,1.8,0.121,-0.9,-0.7,-1.6,0.1,FALSE
"adrieje01","2015",28,"MIN","NBA","PF",17,215,14.2,0.494,0,0.864,11.9,29.6,20.5,10.5,0.9,3.3,12.9,14.3,0.2,0.2,0.4,0.087,-2.7,0.5,-2.2,0,TRUE
"afflaar01","2008",22,"DET","NBA","SG",75,970,10.2,0.494,0.199,0.361,4.4,12.5,8.4,8.1,1.8,0.7,10.9,15.2,0.5,1.4,1.9,0.092,-2.3,0.6,-1.6,0.1,TRUE
"afflaar01","2009",23,"DET","NBA","SG",74,1234,8.9,0.548,0.357,0.237,2.8,10.1,6.4,5.5,1.3,0.8,11.5,14.5,0.8,1,1.8,0.069,-1.7,-0.7,-2.4,-0.1,TRUE
"afflaar01","2010",24,"DEN","NBA","SG",82,2221,10.9,0.576,0.426,0.168,3.1,9.9,6.5,9.3,1,1,10.5,14,2.8,1.4,4.3,0.092,0.8,-0.5,0.3,1.3,TRUE
"afflaar01","2011",25,"DEN","NBA","SG",69,2324,13.6,0.62,0.396,0.26,2.3,9.9,6.2,10.9,0.7,1,9.2,14.8,4.8,1.4,6.2,0.128,2.4,-0.2,2.1,2.4,TRUE
"afflaar01","2012",26,"DEN","NBA","SG",62,2086,14.7,0.584,0.316,0.353,2.3,8.5,5.5,11.1,0.9,0.5,9.5,19.1,4.7,0.6,5.3,0.121,2.5,-1.6,0.8,1.5,TRUE
"afflaar01","2013",27,"ORL","NBA","SF",64,2307,13,0.527,0.265,0.246,1.4,10.3,5.8,14.6,0.9,0.4,12.1,22.5,1.5,0.5,2,0.042,-0.3,-2,-2.3,-0.2,TRUE
"afflaar01","2014",28,"ORL","NBA","SG",73,2552,16,0.574,0.297,0.332,1.4,10.2,5.8,16.9,0.7,0.1,11.2,23.3,4.3,1,5.3,0.099,1.7,-2.3,-0.6,0.9,TRUE
"afflaar01","2015",29,"TOT","NBA","SG",78,2502,10.7,0.533,0.377,0.224,1.1,9.7,5.3,8.2,0.8,0.2,10.7,19,1.6,1,2.6,0.05,-0.5,-1.3,-1.8,0.1,TRUE
"afflaar01","2015",29,"DEN","NBA","SG",53,1750,11.7,0.533,0.37,0.23,1.3,10.2,5.6,9.3,0.9,0.2,10.3,19.9,1.4,0.4,1.8,0.05,0,-1.6,-1.6,0.2,FALSE
"afflaar01","2015",29,"POR","NBA","SG",25,752,8.2,0.533,0.396,0.207,0.9,8.5,4.8,5.5,0.6,0.2,11.8,16.7,0.2,0.5,0.8,0.049,-1.5,-0.8,-2.3,-0.1,FALSE
"afflaar01","2016",30,"NYK","NBA","SG",71,2371,10.9,0.531,0.298,0.164,1.1,11,6.1,9.9,0.5,0.3,8.7,17.9,1.8,0.9,2.7,0.055,-0.6,-1.8,-2.4,-0.2,TRUE
"afflaar01","2017",31,"SAC","NBA","SG",61,1580,8.9,0.559,0.36,0.221,0.7,8.4,4.6,7.4,0.7,0.3,8.4,14.4,1.2,0.2,1.4,0.043,-1.4,-2.1,-3.5,-0.6,TRUE
"afflaar01","2018",32,"ORL","NBA","SG",53,682,5.8,0.516,0.432,0.16,0.6,10.1,5.3,6.2,0.3,1.1,10.8,12.5,-0.1,0.2,0.1,0.009,-4.1,-1.8,-5.8,-0.7,TRUE
"agerma01","2007",22,"DAL","NBA","SG",32,214,2.9,0.408,0.214,0.471,0.6,11,5.9,5,1,1.1,15.1,21.7,-0.5,0.2,-0.3,-0.06,-7.5,-1.8,-9.3,-0.4,TRUE
"agerma01","2008",23,"TOT","NBA","SG",26,165,1.8,0.363,0.292,0.185,2.8,6.3,4.6,8,0,0.4,7.9,21.3,-0.4,0,-0.4,-0.114,-6.8,-4.5,-11.3,-0.4,TRUE
"agerma01","2008",23,"DAL","NBA","SG",12,77,-4.4,0.253,0.296,0.222,1.6,4.4,3,7.4,0,1,9.2,19.8,-0.3,0,-0.3,-0.181,-9.6,-3.5,-13.1,-0.2,FALSE
"agerma01","2008",23,"NJN","NBA","SG",14,88,7.1,0.443,0.289,0.158,3.9,7.9,5.9,8.4,0,0,6.9,22.7,-0.1,0,-0.1,-0.056,-4.4,-5.4,-9.8,-0.2,FALSE
"agerma01","2009",24,"NJN","NBA","SG",20,97,2.2,0.365,0.14,0.186,3.6,8.7,6.1,5.3,0.6,1.7,7.9,24.4,-0.3,0,-0.3,-0.133,-8.5,-4.3,-12.8,-0.3,TRUE
"agerma01","2011",26,"MIN","NBA","SG",4,29,10.1,0.682,0.364,0,0,7.9,3.8,6,1.7,0,26.7,22,0,0,0,-0.015,-2.7,-3.6,-6.3,0,TRUE
"ahearbl01","2008",23,"MIA","NBA","PG",12,177,9,0.495,0.596,0.544,0.7,12.4,6.4,17.2,1.8,0,18.5,23.2,-0.1,0.1,0,-0.006,-2.8,-2.8,-5.6,-0.2,TRUE
"ahearbl01","2009",24,"SAS","NBA","PG",3,19,12.9,0.581,0.667,0.333,0,6.2,3.1,16,2.9,0,12.7,20.1,0,0,0.1,0.149,0.6,-1.8,-1.1,0,TRUE
"ahearbl01","2012",27,"UTA","NBA","PG",4,30,-7.3,0.357,0.643,0,0,7.7,3.8,5.2,0,0,26.3,28.4,-0.2,0,-0.2,-0.315,-10.3,-6,-16.3,-0.1,TRUE
"ajincal01","2009",20,"CHA","NBA","PF",31,182,7,0.43,0.029,0.406,6.2,14.2,10.2,2.8,2.1,2.7,12.9,24.2,-0.3,0.3,-0.1,-0.018,-8.1,-1.2,-9.3,-0.3,TRUE
"ajincal01","2010",21,"CHA","NBA","C",6,30,6.3,0.479,0,0.1,4.1,11.8,8,0,1.8,2.7,16.1,19.3,-0.1,0,0,-0.013,-8.5,-2,-10.4,-0.1,TRUE
"ajincal01","2011",22,"TOT","NBA","C",34,340,12.2,0.507,0.256,0.135,5.9,21.5,13.6,4.8,1.7,4.2,11.3,21.1,0,0.4,0.4,0.052,-3.1,-0.3,-3.4,-0.1,TRUE
"ajincal01","2011",22,"DAL","NBA","C",10,75,12.8,0.435,0.219,0.094,8.1,18,13.3,4.3,2.1,5.1,2.9,21.4,0,0.1,0.1,0.084,-3.6,1.5,-2.1,0,FALSE
"ajincal01","2011",22,"TOR","NBA","C",24,265,12,0.53,0.267,0.149,5.2,22.5,13.6,4.9,1.6,4,13.6,21.1,0,0.2,0.2,0.042,-2.9,-0.8,-3.8,-0.1,FALSE
"ajincal01","2014",25,"NOP","NBA","C",56,951,14.6,0.589,0.004,0.269,11.3,22.7,16.9,6.6,1.3,4.1,18.4,16.3,1.2,0.9,2.1,0.104,-1.5,0.8,-0.7,0.3,TRUE
"ajincal01","2015",26,"NOP","NBA","C",68,957,19.9,0.595,0,0.301,12.4,25,18.7,8.2,1.2,4,15.6,21.1,1.9,1.2,3.2,0.159,-0.5,0.6,0.2,0.5,TRUE
"ajincal01","2016",27,"NOP","NBA","C",59,861,13.8,0.514,0.003,0.197,9.3,25.9,17.3,5.8,1.1,3.4,13.6,20.4,0.2,0.9,1,0.058,-4.3,-0.2,-4.5,-0.5,TRUE
