RANK,SEASON,TEAM,PLAYOFF_TEAM,G,MP,FG%,AVERAGE_DISTANCE,%FGA_2P,%FGA_0-3,%FGA_3-10,%FGA_10-16,FGA_16-3PT,%FGA_3P,FG%_2P,FG%_0-3,FG%_3-10,FG%_10-16,FG%_16-3PT,FG%_3P,%ASTD_2P,%FGA_DUNKS,DUNKS_MADE,%FGA_LAYUPS,LAYUPS_MADE,%ASTD_3P,%FGA3P_CORNER,FG%3_CORNER,HEAVE_ATTEMPTS,HEAVE_MAKES
13.0,2007-2008,Los Angeles Lakers,1,82,19780,0.47600000000000003,12.6,0.743,0.32799999999999996,0.109,0.09300000000000001,0.213,0.257,0.51,0.632,0.42700000000000005,0.389,0.41700000000000004,0.37799999999999995,0.5539999999999999,0.069,439,0.248,953,0.863,0.28,0.42200000000000004,13.0,0.0
14.0,2007-2008,Memphis Grizzlies,0,82,19805,0.45399999999999996,12.4,0.736,0.324,0.142,0.09300000000000001,0.17800000000000002,0.264,0.49200000000000005,0.61,0.424,0.36200000000000004,0.39899999999999997,0.349,0.42,0.054000000000000006,336,0.252,938,0.887,0.19699999999999998,0.389,29.0,0.0
15.0,2007-2008,Miami Heat,0,82,19830,0.44299999999999995,13.4,0.7829999999999999,0.268,0.115,0.107,0.294,0.217,0.467,0.614,0.391,0.37,0.397,0.358,0.534,0.051,284,0.2,699,0.8290000000000001,0.221,0.40299999999999997,11.0,0.0
16.0,2007-2008,Milwaukee Bucks,0,82,19855,0.449,11.6,0.805,0.33,0.149,0.11699999999999999,0.21,0.195,0.474,0.561,0.41100000000000003,0.381,0.433,0.344,0.535,0.047,288,0.248,865,0.847,0.26,0.41100000000000003,11.0,0.0
17.0,2007-2008,Minnesota Timberwolves,0,82,19730,0.451,11.6,0.815,0.306,0.18100000000000002,0.122,0.20600000000000002,0.185,0.474,0.589,0.43,0.379,0.39899999999999997,0.35,0.474,0.035,210,0.253,942,0.862,0.191,0.358,27.0,0.0
18.0,2007-2008,New Jersey Nets,0,82,19830,0.44299999999999995,12.4,0.778,0.34700000000000003,0.085,0.09,0.256,0.222,0.47,0.563,0.365,0.402,0.40299999999999997,0.348,0.632,0.068,384,0.26,824,0.873,0.259,0.424,23.0,0.0
19.0,2007-2008,New Orleans Hornets,1,82,19805,0.466,12.8,0.7609999999999999,0.284,0.13699999999999998,0.113,0.22699999999999998,0.239,0.49,0.617,0.42700000000000005,0.4,0.413,0.389,0.484,0.057,361,0.204,759,0.887,0.289,0.439,7.0,1.0
20.0,2007-2008,New York Knicks,0,82,19880,0.439,11.5,0.785,0.353,0.13699999999999998,0.10099999999999999,0.19399999999999998,0.215,0.467,0.5539999999999999,0.406,0.365,0.406,0.337,0.461,0.044000000000000004,266,0.284,975,0.792,0.249,0.36200000000000004,21.0,1.0
21.0,2007-2008,Orlando Magic,1,82,19780,0.474,12.8,0.6779999999999999,0.325,0.126,0.096,0.132,0.322,0.516,0.635,0.414,0.405,0.401,0.386,0.446,0.071,423,0.235,858,0.873,0.33399999999999996,0.413,18.0,0.0
22.0,2007-2008,Philadelphia 76ers,1,82,19755,0.46,10.9,0.857,0.359,0.11599999999999999,0.154,0.22699999999999998,0.14300000000000002,0.483,0.614,0.402,0.396,0.37799999999999995,0.317,0.516,0.07400000000000001,459,0.273,961,0.831,0.261,0.36700000000000005,23.0,1.0
