"bbref_id","season","blend","season_plus_1","season_plus_2","season_plus_3","season_plus_4","season_plus_5"
"jefferi01",2014,-2.51333333333333,-0.64,-1.81333333333333,-1.89333333333333,-3.45333333333333,NA
"johnsjo02",2014,1.76666666666667,0.646666666666667,-0.06,-0.613333333333333,-3.96666666666667,NA
"parketo01",2014,1.64,-2.76666666666667,-0.233333333333333,-2.10666666666667,-3.8,-3.29333333333333
"randoza01",2014,1.52666666666667,3.53333333333333,-0.926666666666667,-1.64666666666667,-2.44666666666667,NA
"wallage01",2014,0.146666666666667,-2.08,NA,NA,NA,NA
"watsoea01",2014,-3.36666666666667,NA,NA,NA,NA,NA
"bryanko01",2014,-0.486666666666667,-1.33333333333333,-2.55333333333333,NA,NA,NA
"anderch01",2014,3.2,0.24,-0.453333333333333,-0.553333333333333,NA,NA
"cartevi01",2014,3.35333333333333,-1.33333333333333,-1.06,1.2,-0.506666666666667,-1.28666666666667
"crawfja01",2014,-0.353333333333333,-1.85333333333333,-2.40666666666667,-3.16,-4.92,-5.77333333333333
"boozeca01",2014,-3.88666666666667,-3.83333333333333,NA,NA,NA,NA
"butleca01",2014,-3.84666666666667,-1.78,-1.97333333333333,NA,NA,NA
"dunlemi02",2014,2.28,2.35333333333333,-2.58666666666667,-2.20666666666667,NA,NA
"elyme01",2014,-4.16,NA,NA,NA,NA,NA
"goodedr01",2014,-1.64666666666667,-0.773333333333333,-3.74666666666667,NA,NA,NA
"hilarne01",2014,1.48666666666667,0.2,1.64666666666667,1.70666666666667,1.62,0.0866666666666666
"princta01",2014,-1.60666666666667,-3.37333333333333,-3.56666666666667,NA,NA,NA
"salmojo01",2014,-2.02666666666667,-3.55333333333333,NA,NA,NA,NA
"stoudam01",2014,-4.64,-1.24666666666667,-0.0133333333333333,NA,NA,NA
"barnema02",2014,2.06,2.64666666666667,-0.793333333333333,-1.04666666666667,NA,NA
"butlera01",2014,-3.12,-2.4,NA,NA,NA,NA
"scolalu01",2014,-3.28666666666667,0.146666666666667,-1.25333333333333,-1.09333333333333,NA,NA
"pargoja01",2014,-2.34666666666667,-2.17333333333333,NA,NA,NA,NA
"evansre01",2014,-2.82666666666667,-1.67333333333333,NA,NA,NA,NA
"jamesle01",2014,9.02,8.32,9.56,8.41333333333333,6.50666666666667,6.24
"anthoca01",2014,3.03333333333333,2.34666666666667,2.36,-0.153333333333333,-1.77333333333333,-3.48
"boshch01",2014,2.28666666666667,0.42,2.07333333333333,NA,NA,NA
"collini01",2014,4.01333333333333,0.9,-1.3,-1.30666666666667,-2.4,NA
"hinriki01",2014,-0.626666666666667,-3.73333333333333,-2.25333333333333,NA,NA,NA
"kamanch01",2014,-0.693333333333333,-3.00666666666667,-1.82666666666667,NA,NA,NA
"ridnolu01",2014,-4.38,-4.48,NA,NA,NA,NA
"wadedw01",2014,2.04666666666667,0.173333333333333,-0.453333333333333,-0.273333333333333,-1.76666666666667,-1.59333333333333
"blakest01",2014,-1.64,-1.27333333333333,-3.74,NA,NA,NA
"boganke01",2014,-2.74666666666667,NA,NA,NA,NA,NA
"bonnema01",2014,1.94666666666667,-2.94666666666667,1.32666666666667,NA,NA,NA
"greenwi01",2014,-2.74,-4.32,NA,NA,NA,NA
"jonesja02",2014,-0.193333333333333,-2.82,-1.11333333333333,-1.98666666666667,NA,NA
"korveky01",2014,2.90666666666667,4.71333333333333,1.06,-1.90666666666667,1.83333333333333,-1.14666666666667
"outlatr01",2014,-2.89333333333333,NA,NA,NA,NA,NA
"pachuza01",2014,-0.06,3.66666666666667,1.5,2.84666666666667,1.24,0.166666666666667
"perkike01",2014,-3.77333333333333,-4.00666666666667,-3.14,-2.02666666666667,NA,NA
"duncati01",2014,4.62,5.3,4.66666666666667,NA,NA,NA
"barbole01",2014,-2.31333333333333,-1.39333333333333,-1.78666666666667,-3.36666666666667,NA,NA
"diawbo01",2014,1.83333333333333,0.0733333333333333,0.446666666666667,-3.02,NA,NA
"westda01",2014,3.06666666666667,0.526666666666667,2.60666666666667,2.11333333333333,2.58666666666667,NA
"willima01",2014,-2.48666666666667,-0.913333333333333,-4.2,NA,NA,NA
"hasleud01",2014,-4.16666666666667,-4.08666666666667,-2.46666666666667,-2.44,-3.24,-5.58
"poweljo01",2014,-6.85333333333333,NA,NA,NA,NA,NA
